restaurant_id,restaurant_name,description,facebook,instagram,restaurant_website,telephone_number,cuisines,other_dish_tags,low_count_exclusion,is_chain,is_excluded,is_excluded_regex
00075e78-5ac5-43a8-81f5-95ced5de3deb,denny's,"For more than 65 years Denny's has been bringing people together over great food. It's the place where people can relax and be themselves while enjoying classic American comfort food and everyday value. 24 hours a day. 365 days a year. Come in and order the usual or try something new - like our Sizzlin' Skillets menu with the NEW! Parmesan Chicken Sizzlin' Skillet or the New! Beyond Burger featuring a plant-based patty. Or, get all your favorite breakfast items at one low price with the Super Slam - back for a limited time only. While the restaurants have been updated and the menu changed, Denny's still has all your favorites like Moons Over My Hammy, Sizzlin' Skillets, hand-dipped Milk Shakes, 100% Beef Burgers and the world-famous Build Your Own Grand Slam. Whether it's appetizers, breakfast, lunch, dinner or dessert, we pride ourselves on an expansive menu featuring delicious, innovative options that cater to the taste and dietary requirements of every guest that walks in the",,,https://locations.dennys.com/va/chesapeake/248788,+1 757-312-9008,american,"diner, burger",0.0,1,0,0
000f0005-3a31-45b6-98b7-7a72b6e43d6f,olla pizza n more,,,,https://www.ollapizzamenu.com,+1 571-229-5636,,,0.0,0,1,0
002936f9-638f-4d4a-a804-b37b17acd546,town center cold pressed hilton main,"Serving coffee. juices, sandwiches, and bagels",,,,+1 757-904-3986,,,1.0,0,0,0
002f5a94-f47b-436f-aa7b-9d46c78b6a4a,tgi fridays,"TGI Fridays has been living the weekend since its doors opened in 1965. Today, there are over 900 restaurants in 60 countries offering delicious food and legendary drinks, all served in the spirit of Friday. We are proud to bring people together for brunch, lunch, dinner, late night, and everything in between. So when we say ""In Here, It's Always Friday"" we mean it.",http://www.facebook.com/tgifridays,,http://www.tgifridays.com/,+1 703-717-0690,american,"salad, burger",0.0,1,0,0
00388cc6-09b5-4354-b7a0-ccd4a9ffa617,epic smokehouse,"Epic Smokehouse is an upscale, urban smokehouse featuring a variety of smoked meats and seafood. Our bar compliments our bold flavors with a quality selection of wines, beers, scratch cocktails and an impressive selection of bourbon, whiskey, and scotch. For larger parties, please contact stela@epicsmokehouse.com. We look forward to having you dine with us soon!",http://www.facebook.com/epicsmokehouse,,http://www.epicsmokehouse.com/,+1 571-319-4001,american,"salad, Gluten Free Options, steakhouse, burger",0.0,0,0,0
004299e8-9769-4c1d-b5f3-a1ad4a94c9cc,samurai japanese steak sushi bar,,,,http://www.samuraifairfax.com/,+1 703-278-9123,"japanese, asian",steakhouse,0.0,0,0,1
0043936c-0079-40a4-8190-223f1eb45ee0,arby's,"Arby's is a leading global quick-service restaurant company operating and franchising over 3,400 restaurants worldwide. Arby's was the first nationally franchised, coast-to-coast sandwich chain and has been serving fresh, craveable meals since it opened its doors in 1964. The Arby's brand strives to inspire smiles through delicious experiences. We are on a never-ending quest for the perfect sandwich, starting with the Classic Roast Beef and French Dip to the deli-style Market Fresh line of sandwiches and salads.",,,http://locations.arbys.com/us/va/suffolk/6468-hampton-roads-pkwy.html,+1 757-484-6454,american,burger,0.0,1,0,0
0044315d-a5b1-4859-8ddf-843be1d3b1ea,tasty dumpling,,,,http://tasty-dumpling.com,+1 703-269-1752,chinese,,0.0,0,0,0
0045f79c-a6ce-4b4a-a0ff-8c181deff389,mamma maria's,The luscious flavors of Italy right here in Salem. From zesty salads to mouthwatering pasta to deluxe pizza pies - come delight your taste buds with authentic recipes and only the freshest ingredients. Give us a call to have a large order prepared for takeout today!,,,https://mammamariasva.com,+1 540-389-2848,italian,"Gluten Free Options, Vegan Options, Vegetarian Friendly",0.0,0,0,0
004e4147-6afa-43be-a82b-aa4f0a6d8562,raise the roost,,,,https://raisetheroostchicken.com,+1 804-396-1520,southern,,0.0,0,0,0
0054db08-7798-48ae-b9a0-d4a524ff5fe3,velocity wings,,,,http://www.velocitywings.net,+1 703-444-8666,american,"dessert, salad, burger",0.0,1,0,1
005efc69-e519-49be-9b7f-7a43be647a4a,dok khao,,,,http://www.dokkhao.com,+1 571-285-2459,"thai, asian",dessert,0.0,0,0,0
0066cfff-d686-4c98-b465-a3e7bafb44ce,outback steakhouse,"Outback Steakhouse, the home of juicy steaks, spirited drinks and Aussie hospitality. Find our location in Herndon on the corner of Elden Street and Fairfax County Parkway",,,https://locations.outback.com/virginia/herndon/365-elden-street,+1 703-318-0999,american,"steakhouse, burger",0.0,0,0,0
006b9897-c790-47b9-bb88-cacba0d02e61,fiesta tapatia mexican restaurant,"The business was established in 2007. In 2012 Raul and Sergio purchased the business from the previous owners. Raul's background came from the military and Sergio's background came from a small local business in Degollado, Mexico, as the lead chef. Combining both their knowledge, they brought to the Lynchburg area a delightful and successful business known as Fiesta Tapatia.",,,http://www.fiestatapatiamexicanrestaurant.com,+1 434-385-8823,mexican,Vegetarian Friendly,0.0,0,0,0
006d9a8a-e201-4293-8f08-e51e50a4a52d,lost dog cafe south arlington,,https://www.facebook.com/lostdogcafesoutharlington/,https://www.instagram.com/lostdogcafesoutharlington/,https://www.lostdogcafe.com,+1 703-553-7770,american,"Gluten Free Options, bar, Vegan Options, Vegetarian Friendly",0.0,0,0,1
00728c76-e11b-4b75-9513-41a40ccfa69b,chen's kitchen,"Need to add this restaurant - very vegetarian friendly, great food, mostly a take-out place, friendly service",,,http://www.chenskitchen.net,+1 757-622-6633,chinese,,0.0,0,0,0
0075f1c0-673f-42a0-88c0-c0d206ebd82c,juke box diner,"Rock 'n roll jukebox music, tile walls and the best food around is what you'll experience at Juke Box Diner. A blend of a busy old-fashioned diner and a fun friendly restaurant offering daily specials. Our menu reflects a similar blend of yesterday and today offering omelets, pancakes and hamburgers as well as today's popular grilled chicken salad, steak, shrimp and chicken strips, At Juke Box Diner, we offer a wide selection of Classic American diner meals as well as a blend of international items from Greek, middle eastern, Italian entrées and European dishes. Whether it's for dine in, take our, delivery or catering your special event, JBD is your one stop diner.",,,http://www.jukeboxdiner.com,+1 703-330-0850,american,"salad, Vegan Options, diner, burger, Vegetarian Friendly",0.0,0,0,1
00781473-c195-4249-bf1c-24d2b1d724d3,panjshir,Been in business in Falls Church for more than 34 years,,,http://www.panjshirrestaurant.com/,+1 703-536-4566,"halal, afghan","Halal, salad, Vegan Options, Vegetarian Friendly, kebab",0.0,0,0,0
007c71ce-710f-4114-9ae5-d4b493ff0cc6,the farm brewery at broad run,"Spend the day with us on our bucolic farm sipping one of our 13 beers on tap or if you prefer try our ciders, wines or wine slushies. Kids will enjoy our homemade craft sodas and our wings are not to be missed!",https://www.facebook.com/thefarmbreweryatbroadrun,,http://www.tfbabr.com,+1 703-753-3548,,,0.0,0,0,0
007d1ee2-5c0f-4467-b8ef-e57ac9d65f8d,bonchon,"Bonchon's Korean fried chicken is located in Annandale, VA. Experience authenticity with Bonchon's signature Korean food in a restaurant location near you.",,,https://locations.bonchon.com/ll/us/va/annandale/7215-columbia-pike,+1 703-914-1415,"korean, asian",,0.0,1,0,0
0081db9a-d37e-4926-9ba4-a8bced7ee2d0,la finca,,,,https://www.lafincamexicangainesvilleva.com,+1 571-261-9259,mexican,,0.0,0,0,0
00841727-6468-4a6e-bd17-475c1a1c96e8,chimm st,,http://www.facebook.com/chimmstreet,http://www.instagram.com/chimmstreet,http://www.chimmstreet.com,+1 434-207-8488,"vietnamese, thai",,0.0,0,0,0
009345dd-6844-49d7-b607-5de0fd2dad07,dragon china,,,,https://dragonchinaonline.com,+1 540-989-3381,chinese,,0.0,0,0,0
